node_id,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27
0,-1.072708,-0.365467,1.697428,3.81713,4.165336,6.951935,5.121874,1.553364,0.903568,4.750266,-0.566435,-3.404344,-0.830178,-2.109021,-2.042922,-5.302008,-1.547356,2.774917,0.057082,-2.966044,-2.924723,2.724421,1.506025,4.108036,0.607745,4.531445,2.355325,-1.242335
1,3.211202,4.67153,4.428595,6.426734,2.649723,4.735102,5.930408,4.525868,3.757472,2.992244,1.191921,-0.397375,1.82098,1.772674,-0.723019,-1.457422,-1.468069,-0.505459,1.293174,-0.308103,0.615795,0.566343,-0.923849,0.795564,1.98207,-3.022542,0.665076,1.042653
2,5.189486,6.627134,5.017166,3.788041,4.619456,2.002409,2.536171,5.908217,4.862678,3.779366,0.679642,0.425253,0.558376,0.621914,-1.538176,1.456618,1.978491,-0.133002,0.708391,1.533617,0.975129,-0.515883,1.344421,-0.533189,0.880366,0.448888,-0.618976,-1.245247
3,2.596005,6.312792,4.313487,3.59266,6.672027,2.640653,3.112029,4.692957,5.244075,3.714963,0.260596,3.951295,3.057421,1.003961,-1.685828,0.35765,3.636996,2.357426,-0.941567,1.131723,2.769014,-0.203065,2.325196,-1.019775,0.135287,2.768173,2.296531,-2.459364
4,2.450349,5.513934,3.782095,5.380583,5.150199,4.822895,5.4602,4.720666,3.739872,3.068812,1.779082,0.384747,1.305735,1.758853,-1.346782,-0.279501,-0.102767,-0.26652,0.321924,-0.164653,0.973905,0.666061,-0.485748,0.094067,1.443106,-2.084794,0.591567,-0.05281
5,3.318473,2.26723,3.847697,2.390907,4.077727,3.160664,2.242448,3.015267,3.514381,5.54294,-2.557361,-0.729709,-0.936861,-1.424581,0.194767,-0.545133,0.667929,1.592624,-1.473745,-0.504992,-1.417662,-0.52049,1.337189,0.243965,-1.443252,4.826328,-0.021236,-0.466159
6,3.527606,4.855579,4.629352,5.053764,6.02483,1.885223,2.689841,5.59126,5.820792,4.862696,-0.625904,0.529187,0.176363,-0.360996,-1.533861,0.367481,1.286076,1.062316,-0.445559,0.736249,1.917906,0.383614,2.17633,0.152049,0.165956,2.637007,0.162754,-1.404074
7,2.426625,3.857591,6.384534,3.868145,4.303312,2.667809,4.986298,4.183659,4.324709,3.353749,-0.323825,2.284923,0.437952,2.173242,1.462858,0.659883,-0.722115,-1.313104,-1.303838,0.596783,1.17729,-0.786396,-1.090383,-2.001011,0.15574,-1.804925,-0.185897,0.430668
8,7.332326,5.940975,4.717171,2.394882,3.486901,4.670588,2.196357,3.639361,5.660108,3.415749,1.293585,0.081209,-0.79361,0.158075,1.702044,2.292759,0.088966,-2.503987,0.12889,0.863639,-1.076756,-2.238905,-1.916872,-2.050058,-0.955087,-2.001501,-1.799513,1.200912
9,6.757462,8.481115,5.975545,5.994005,4.421892,0.134929,3.501653,6.643864,7.647515,3.640239,1.036986,2.775747,1.551844,1.772355,-0.467807,3.574473,0.883473,-1.931602,0.511195,2.299104,3.885176,-1.53102,0.591422,-3.013335,0.859485,-2.271659,-2.429977,-0.390215
