source,target,weight
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,15,1
0,24,1
0,26,1
0,27,1
0,35,1
0,55,1
0,61,1
0,69,1
0,77,1
0,90,1
0,106,1
0,108,1
0,117,1
0,122,1
0,134,1
0,139,1
0,143,1
0,145,1
0,149,1
0,150,1
0,154,1
0,173,1
0,176,1
0,179,1
0,187,1
0,200,1
0,205,1
0,225,1
0,229,1
0,236,1
0,247,1
0,248,1
0,255,1
0,257,1
0,268,1
0,286,1
0,310,1
0,313,1
0,320,1
0,336,1
0,346,1
0,356,1
0,371,1
0,379,1
0,383,1
0,397,1
0,405,1
0,412,1
0,421,1
0,427,1
0,436,1
0,465,1
0,497,1
0,507,1
0,518,1
0,540,1
0,552,1
0,565,1
0,698,1
0,702,1
0,705,1
0,747,1
0,777,1
0,786,1
0,787,1
0,820,1
0,835,1
0,854,1
0,864,1
0,910,1
0,940,1
0,983,1
0,994,1
0,1049,1
0,1099,1
0,1150,1
0,1178,1
0,1181,1
0,1228,1
0,1247,1
0,1255,1
0,1287,1
0,1306,1
0,1321,1
0,1327,1
0,1355,1
0,1384,1
0,1389,1
0,1395,1
0,1493,1
0,1498,1
0,1584,1
0,1592,1
0,1602,1
0,1606,1
0,1645,1
0,1720,1
0,1760,1
0,1780,1
0,1798,1
0,1830,1
0,1887,1
0,1908,1
0,1912,1
0,2004,1
0,2019,1
0,2043,1
0,2137,1
0,2146,1
0,2249,1
0,2275,1
0,2291,1
0,2362,1
0,2418,1
0,2451,1
0,2469,1
0,2488,1
0,2598,1
0,2659,1
0,2730,1
0,2734,1
0,2752,1
0,2783,1
0,2787,1
0,2815,1
0,2978,1
0,2990,1
0,2991,1
0,3002,1
0,3004,1
0,3098,1
0,3196,1
0,3400,1
0,3406,1
0,3489,1
0,3511,1
0,3519,1
0,3553,1
0,3656,1
0,3667,1
0,3726,1
0,3756,1
0,3916,1
0,3918,1
0,3966,1
0,4002,1
0,4048,1
0,4079,1
0,4225,1
0,4291,1
0,4482,1
0,4497,1
0,4525,1
0,4603,1
0,4670,1
0,4695,1
0,4696,1
0,4735,1
0,4785,1
0,4899,1
0,4978,1
0,5151,1
0,5285,1
0,5342,1
0,5356,1
0,5441,1
0,5481,1
0,5580,1
0,5613,1
0,5618,1
0,5629,1
0,5736,1
0,5861,1
0,5877,1
0,5921,1
0,5954,1
0,5987,1
0,5993,1
0,6403,1
0,6446,1
0,6479,1
0,6540,1
0,6551,1
0,6580,1
0,6836,1
0,7095,1
0,7106,1
0,7243,1
0,7273,1
0,7405,1
0,7406,1
0,7509,1
0,7515,1
0,7558,1
0,7667,1
0,7706,1
0,7747,1
0,7852,1
0,7881,1
0,7887,1
0,7945,1
0,8055,1
0,8067,1
0,8114,1
0,8139,1
0,8149,1
0,8235,1
0,8297,1
0,8438,1
0,8449,1
0,8454,1
0,8609,1
0,8611,1
0,8708,1
0,8793,1
0,8872,1
0,9029,1
0,9143,1
0,9154,1
0,9175,1
0,9179,1
0,9219,1
0,9306,1
0,9355,1
0,9391,1
0,9476,1
0,9570,1
0,9573,1
0,9587,1
0,9607,1
0,9640,1
0,9672,1
0,9751,1
0,9790,1
0,9998,1
0,10013,1
0,10015,1
0,10190,1
0,10194,1
0,10230,1
0,10252,1
0,10348,1
0,10357,1
0,10452,1
0,10517,1
0,10617,1
0,10642,1
0,10649,1
0,10663,1
0,10762,1
0,10938,1
0,10960,1
0,10970,1
0,11052,1
0,11100,1
0,11125,1
0,11152,1
0,11270,1
0,11402,1
0,11480,1
0,11536,1
0,11850,1
0,11879,1
0,11931,1
0,12069,1
0,12094,1
0,12139,1
0,12236,1
0,12288,1
0,12499,1
0,12567,1
0,12641,1
0,12709,1
1,2,1
1,3,1
1,4,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,34,1
1,48,1
1,50,1
1,80,1
1,85,1
1,115,1
1,139,1
1,160,1
1,162,1
1,177,1
1,208,1
1,210,1
1,220,1
1,222,1
1,263,1
1,294,1
1,389,1
1,435,1
1,462,1
1,519,1
1,524,1
1,559,1
1,649,1
1,668,1
1,727,1
1,737,1
1,763,1
1,815,1
1,844,1
1,887,1
1,921,1
1,929,1
1,952,1
1,962,1
1,1072,1
1,1237,1
1,1301,1
1,1435,1
1,1515,1
1,1555,1
1,1577,1
1,1641,1
1,1666,1
1,1687,1
1,1737,1
1,1792,1
1,1796,1
1,1832,1
1,1868,1
1,1958,1
1,1967,1
1,2008,1
1,2163,1
1,2345,1
1,2352,1
1,2467,1
1,2506,1
1,2582,1
1,2694,1
1,2702,1
1,2944,1
1,2993,1
1,3089,1
1,3228,1
1,3286,1
1,3406,1
1,3452,1
1,3505,1
1,3622,1
1,3705,1
1,3736,1
1,3931,1
1,3962,1
1,3972,1
1,4016,1
1,4031,1
1,4251,1
1,4253,1
1,4263,1
1,4290,1
1,4303,1
1,4312,1
1,4417,1
1,4512,1
1,4762,1
1,4856,1
1,4900,1
1,5174,1
1,5294,1
1,5324,1
1,5348,1
1,5402,1
1,5506,1
1,5523,1
1,5606,1
1,5620,1
1,5659,1
1,5703,1
1,6232,1
1,6323,1
1,6505,1
1,6652,1
1,6722,1
1,6890,1
1,6936,1
1,6999,1
1,7013,1
1,7231,1
1,7321,1
1,7334,1
1,7710,1
1,7858,1
1,7862,1
1,7934,1
1,8182,1
1,8422,1
1,8695,1
1,8778,1
1,8839,1
1,9228,1
1,9420,1
1,9422,1
1,9528,1
1,9773,1
1,9795,1
1,9855,1
1,9864,1
1,9961,1
1,10244,1
1,10398,1
1,10454,1
1,10545,1
1,10815,1
1,10998,1
1,11130,1
1,11236,1
1,11305,1
1,11489,1
1,11518,1
1,11914,1
1,11934,1
1,12287,1
1,12347,1
1,12359,1
1,12404,1
1,12412,1
1,12420,1
1,12423,1
1,12554,1
1,12630,1
2,3,1
2,5,1
2,6,1
2,7,1
2,22,1
2,23,1
2,24,1
2,40,1
2,42,1
2,43,1
2,52,1
2,60,1
2,63,1
2,66,1
2,79,1
2,173,1
2,182,1
2,188,1
2,191,1
2,198,1
2,210,1
2,214,1
2,253,1
2,261,1
2,265,1
2,275,1
2,307,1
2,366,1
2,382,1
2,385,1
2,391,1
2,396,1
2,397,1
2,461,1
2,472,1
2,537,1
2,546,1
2,566,1
2,570,1
2,614,1
2,621,1
2,625,1
2,633,1
2,637,1
2,641,1
2,673,1
2,684,1
2,703,1
2,753,1
2,774,1
2,784,1
2,801,1
2,809,1
2,904,1
2,940,1
2,1011,1
2,1031,1
2,1040,1
2,1070,1
2,1100,1
2,1200,1
2,1241,1
2,1257,1
2,1276,1
2,1290,1
2,1318,1
2,1334,1
2,1336,1
2,1357,1
2,1428,1
2,1478,1
2,1500,1
2,1509,1
2,1510,1
2,1533,1
2,1540,1
2,1689,1
2,1700,1
2,1739,1
2,1774,1
2,1889,1
2,1916,1
2,1982,1
2,2065,1
2,2068,1
2,2238,1
2,2472,1
2,2665,1
2,2698,1
2,2760,1
2,2774,1
2,2936,1
2,2998,1
2,3015,1
2,3047,1
2,3048,1
2,3060,1
2,3091,1
2,3199,1
2,3229,1
2,3249,1
2,3250,1
2,3276,1
2,3277,1
2,3299,1
2,3323,1
2,3370,1
2,3403,1
2,3405,1
2,3455,1
2,3581,1
2,3797,1
2,3799,1
2,3849,1
2,3882,1
2,4074,1
2,4094,1
2,4141,1
2,4147,1
2,4175,1
2,4225,1
2,4230,1
2,4336,1
2,4341,1
2,4365,1
2,4371,1
2,4384,1
2,4419,1
2,4473,1
2,4518,1
2,4601,1
2,4625,1
2,4754,1
2,4837,1
2,4875,1
2,4911,1
2,4951,1
2,4976,1
2,5452,1
2,5461,1
2,5604,1
2,5662,1
2,5860,1
2,6087,1
2,6103,1
2,6120,1
2,6153,1
2,6163,1
2,6196,1
2,6306,1
2,6368,1
2,6431,1
2,6437,1
2,6666,1
2,6751,1
2,6812,1
2,6932,1
2,7011,1
2,7202,1
2,7212,1
2,7443,1
2,7651,1
2,7774,1
2,7870,1
2,7890,1
2,7902,1
2,8138,1
2,8204,1
2,8285,1
2,8310,1
2,8322,1
2,8577,1
2,8578,1
2,8607,1
2,8633,1
2,8688,1
2,8703,1
2,8909,1
2,9075,1
2,9146,1
2,9181,1
2,9287,1
2,9464,1
2,9553,1
2,9580,1
2,9611,1
2,9673,1
2,9968,1
2,10075,1
2,10076,1
2,10166,1
2,10227,1
2,10228,1
2,10504,1
2,10629,1
2,10659,1
2,10698,1
2,11124,1
2,11204,1
2,11227,1
2,11338,1
2,11348,1
2,11530,1
2,11783,1
2,11789,1
2,11855,1
2,11963,1
2,12074,1
2,12266,1
2,12373,1
2,12422,1
2,12476,1
3,4,1
3,6,1
3,7,1
3,8,1
3,11,1
3,14,1
3,15,1
3,21,1
3,22,1
3,30,1
3,32,1
3,33,1
3,34,1
3,36,1
3,37,1
3,39,1
3,47,1
3,50,1
3,52,1
3,57,1
3,70,1
3,92,1
3,93,1
3,97,1
3,101,1
3,117,1
3,135,1
3,136,1
3,141,1
3,166,1
3,174,1
3,175,1
3,183,1
3,200,1
3,205,1
3,206,1
3,209,1
3,219,1
3,231,1
3,261,1
3,274,1
3,280,1
3,284,1
3,311,1
3,318,1
3,323,1
3,324,1
3,325,1
3,329,1
3,340,1
3,341,1
3,390,1
3,414,1
3,444,1
3,455,1
3,470,1
3,474,1
3,476,1
3,477,1
3,478,1
3,498,1
3,501,1
3,540,1
3,543,1
3,571,1
3,575,1
3,594,1
3,598,1
3,604,1
3,618,1
3,643,1
3,666,1
3,672,1
3,696,1
3,710,1
3,721,1
3,729,1
3,771,1
3,772,1
3,779,1
3,807,1
3,818,1
3,825,1
3,827,1
3,828,1
3,872,1
3,898,1
3,905,1
3,976,1
3,980,1
3,1081,1
3,1090,1
3,1106,1
3,1137,1
3,1222,1
3,1272,1
3,1325,1
3,1332,1
3,1345,1
3,1352,1
3,1358,1
3,1359,1
3,1424,1
3,1433,1
3,1506,1
3,1546,1
3,1559,1
3,1585,1
3,1603,1
3,1638,1
3,1671,1
3,1684,1
3,1704,1
3,1707,1
3,1724,1
3,1757,1
3,1763,1
3,1806,1
3,1820,1
3,1897,1
3,1939,1
3,1972,1
3,2026,1
3,2032,1
3,2046,1
3,2084,1
3,2205,1
3,2213,1
3,2295,1
3,2347,1
3,2438,1
3,2487,1
3,2509,1
3,2559,1
3,2631,1
3,2670,1
3,2707,1
3,2758,1
3,2800,1
3,2813,1
3,2824,1
3,2856,1
3,2932,1
3,2941,1
3,2964,1
3,3194,1
3,3197,1
3,3220,1
3,3272,1
3,3308,1
3,3359,1
3,3379,1
3,3384,1
3,3434,1
3,3453,1
3,3455,1
3,3488,1
3,3491,1
3,3495,1
3,3502,1
3,3514,1
3,3564,1
3,3597,1
3,3636,1
3,3639,1
3,3699,1
3,3806,1
3,3818,1
3,3863,1
3,3921,1
3,3929,1
3,3956,1
3,4071,1
3,4146,1
3,4157,1
3,4245,1
3,4349,1
3,4422,1
3,4468,1
3,4469,1
3,4512,1
3,4579,1
3,4612,1
3,4669,1
3,4676,1
3,4806,1
3,4844,1
3,4855,1
3,4860,1
3,4873,1
3,4905,1
3,4992,1
3,5057,1
3,5096,1
3,5172,1
3,5217,1
3,5235,1
3,5248,1
3,5395,1
3,5474,1
3,5510,1
3,5541,1
3,5575,1
3,5614,1
3,5702,1
3,5780,1
3,5785,1
3,5829,1
3,5909,1
3,6081,1
3,6135,1
3,6453,1
3,6593,1
3,6597,1
3,6672,1
3,6753,1
3,7004,1
3,7074,1
3,7081,1
3,7198,1
3,7213,1
3,7247,1
3,7472,1
3,7532,1
3,7593,1
3,7614,1
3,7746,1
3,7790,1
3,7823,1
3,7891,1
3,7902,1
3,8020,1
3,8072,1
3,8126,1
3,8135,1
3,8177,1
3,8189,1
3,8209,1
3,8253,1
3,8772,1
3,8860,1
3,8914,1
3,8928,1
3,8945,1
3,9000,1
3,9115,1
3,9255,1
3,9265,1
3,9368,1
3,9374,1
3,9412,1
3,9463,1
3,9473,1
3,9537,1
3,9654,1
3,9753,1
3,9776,1
3,9794,1
3,10137,1
3,10234,1
3,10270,1
3,10487,1
3,10509,1
3,10511,1
3,10567,1
3,10720,1
3,10728,1
3,10884,1
3,10893,1
3,10894,1
3,11012,1
3,11021,1
3,11042,1
3,11182,1
3,11203,1
3,11363,1
3,11375,1
3,11396,1
3,11509,1
3,11545,1
3,11588,1
3,11699,1
3,11768,1
3,11936,1
3,12124,1
3,12170,1
3,12214,1
3,12260,1
3,12285,1
3,12411,1
3,12466,1
3,12586,1
3,12681,1
4,5,1
4,12,1
4,29,1
4,31,1
4,37,1
4,41,1
4,57,1
4,64,1
4,75,1
4,82,1
4,89,1
4,91,1
4,110,1
4,141,1
4,142,1
4,154,1
4,158,1
4,162,1
4,212,1
4,226,1
4,227,1
4,252,1
4,292,1
4,298,1
4,305,1
4,423,1
4,443,1
4,496,1
4,506,1
4,564,1
4,572,1
4,711,1
4,739,1
4,767,1
4,806,1
4,834,1
4,845,1
4,872,1
4,891,1
4,989,1
4,1008,1
4,1027,1
4,1044,1
4,1045,1
4,1075,1
4,1085,1
4,1144,1
4,1192,1
4,1200,1
4,1240,1
4,1250,1
4,1268,1
4,1394,1
4,1494,1
4,1500,1
4,1526,1
4,1570,1
4,1647,1
4,1875,1
4,1923,1
4,1984,1
4,2055,1
4,2063,1
4,2487,1
4,2543,1
4,2650,1
4,2675,1
4,2884,1
4,2886,1
4,2908,1
4,3008,1
4,3009,1
4,3011,1
4,3051,1
4,3072,1
4,3115,1
4,3236,1
4,3244,1
4,3272,1
4,3296,1
4,3316,1
4,3331,1
4,3338,1
4,3341,1
4,3423,1
4,3480,1
4,3507,1
4,3729,1
4,3742,1
4,3807,1
4,4008,1
4,4095,1
4,4237,1
4,4316,1
4,4370,1
4,4441,1
4,4447,1
4,4493,1
4,4604,1
4,4675,1
4,4740,1
4,4800,1
4,4846,1
4,4979,1
4,4998,1
4,5018,1
4,5173,1
4,5270,1
4,5426,1
4,5427,1
4,5520,1
4,5558,1
4,5563,1
4,5607,1
4,5803,1
4,5827,1
4,5917,1
4,5996,1
4,6154,1
4,6270,1
4,6408,1
4,6793,1
4,6969,1
4,7026,1
4,7030,1
4,7166,1
4,7182,1
4,7365,1
4,7473,1
4,7548,1
4,7644,1
4,7651,1
4,8138,1
4,8155,1
4,8658,1
4,8731,1
4,8791,1
4,8808,1
4,8970,1
4,9108,1
4,9375,1
4,9563,1
4,9621,1
4,9776,1
4,10156,1
4,10414,1
4,10466,1
4,10772,1
4,10914,1
4,11051,1
4,11237,1
4,11248,1
4,11329,1
4,11472,1
4,11475,1
4,11825,1
4,12103,1
4,12157,1
4,12277,1
4,12322,1
4,12443,1
4,12507,1
4,12740,1
5,10,1
5,11,1
5,12,1
5,13,1
5,46,1
5,47,1
5,49,1
5,50,1
5,55,1
5,65,1
